,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindSpeed9am
0,6.3,NW,30.0,SW,6.0
1,9.7,ENE,39.0,E,4.0
2,3.3,NW,85.0,N,6.0
3,9.1,NW,54.0,WNW,30.0
4,10.6,SSE,50.0,SSE,20.0
5,8.2,SE,44.0,SE,20.0
6,8.4,SE,43.0,SE,19.0
7,4.6,E,41.0,SE,11.0
8,4.1,S,48.0,E,19.0
9,7.7,E,31.0,S,7.0
10,11.9,N,30.0,SE,6.0
11,12.5,E,41.0,E,2.0
12,13.0,WNW,30.0,S,6.0
13,12.4,NW,44.0,WNW,7.0
14,13.1,NW,41.0,S,6.0
15,11.1,E,46.0,SE,7.0
16,8.4,ESE,44.0,WSW,6.0
17,10.1,S,52.0,SW,6.0
18,13.0,E,39.0,NNE,4.0
19,10.4,NE,33.0,NNW,2.0
20,9.5,WNW,59.0,N,2.0
21,0.0,E,26.0,ENE,6.0
22,0.6,ESE,28.0,S,13.0
23,7.5,NNE,26.0,WSW,6.0
24,8.1,ENE,33.0,SSE,9.0
25,8.9,E,41.0,E,6.0
26,2.3,ENE,39.0,E,20.0
27,10.7,S,52.0,S,6.0
28,0.4,SE,39.0,SE,7.0
29,0.5,NNW,30.0,SSW,6.0
30,0.2,SSE,41.0,E,6.0
31,12.0,NNE,41.0,E,6.0
32,4.7,NW,50.0,WNW,13.0
33,11.8,NW,50.0,NW,20.0
34,9.8,ENE,43.0,ESE,11.0
35,6.3,ENE,39.0,ESE,13.0
36,8.8,SW,41.0,NW,6.0
37,8.8,NE,39.0,E,7.0
38,11.1,NW,43.0,N,9.0
39,10.0,NNW,35.0,NNE,11.0
40,2.3,ENE,35.0,ESE,9.0
41,7.3,ENE,41.0,ESE,15.0
42,3.6,SE,39.0,ESE,22.0
43,12.7,E,35.0,NNW,6.0
44,8.8,E,41.0,SE,2.0
45,0.9,S,31.0,SSE,6.0
46,10.6,ESE,48.0,SSE,13.0
47,8.7,ENE,39.0,SE,13.0
48,0.8,NE,22.0,NE,7.0
49,2.3,NNW,30.0,N,4.0
50,8.1,N,41.0,NW,6.0
51,5.9,NNW,76.0,N,41.0
52,10.2,ENE,39.0,N,9.0
53,12.1,NW,44.0,NNW,7.0
54,5.6,E,41.0,SE,11.0
55,13.0,NNW,41.0,W,6.0
56,7.1,NNW,65.0,N,7.0
57,13.2,NNW,28.0,NNW,6.0
58,13.6,NNW,30.0,NW,6.0
59,13.0,E,39.0,SSW,6.0
60,13.6,NE,31.0,SSE,7.0
61,12.8,NNE,35.0,ESE,2.0
62,10.5,ESE,41.0,ESE,2.0
63,2.2,ESE,50.0,ESE,20.0
64,12.5,ESE,46.0,ESE,24.0
65,11.7,NE,35.0,SSE,7.0
66,10.5,ENE,39.0,W,6.0
67,12.6,ENE,39.0,E,11.0
68,8.1,E,46.0,E,7.0
69,8.8,E,43.0,E,13.0
70,12.8,NE,33.0,WNW,6.0
71,13.3,SSE,57.0,NNW,6.0
72,6.9,SW,50.0,E,4.0
73,13.5,WNW,52.0,NNW,6.0
74,6.0,E,50.0,E,13.0
75,11.1,W,35.0,E,7.0
76,8.4,N,59.0,N,15.0
77,11.6,E,46.0,ESE,20.0
78,0.1,ESE,39.0,ESE,17.0
79,0.0,NE,33.0,SSE,9.0
80,8.1,NW,50.0,NW,19.0
81,1.6,E,48.0,SSE,17.0
82,11.6,E,33.0,SE,11.0
83,10.8,NE,28.0,SE,7.0
84,9.9,ENE,35.0,SE,6.0
85,8.2,E,41.0,E,9.0
86,9.0,NNE,28.0,NW,4.0
87,11.6,WSW,46.0,N,4.0
88,13.2,NNW,44.0,NNE,4.0
89,11.8,ENE,46.0,S,6.0
90,9.9,NW,69.0,N,6.0
91,3.6,ESE,39.0,N,13.0
92,6.2,SSE,30.0,SE,11.0
93,8.1,NNE,30.0,SSE,7.0
94,9.2,E,48.0,SE,9.0
95,0.0,ENE,33.0,SSE,7.0
96,0.3,ESE,30.0,S,7.0
97,8.0,W,52.0,NW,6.0
98,5.9,SSW,61.0,N,11.0
99,5.6,ENE,41.0,ESE,7.0
100,8.9,SSE,33.0,S,15.0
101,9.6,ENE,41.0,SSE,17.0
102,10.7,NE,31.0,SE,7.0
103,5.9,W,48.0,NNW,9.0
104,0.4,ENE,30.0,SSE,13.0
105,12.7,E,33.0,S,11.0
106,12.6,ENE,35.0,SE,7.0
107,12.6,ENE,39.0,SE,7.0
108,10.2,ENE,46.0,ESE,9.0
109,11.7,E,31.0,S,7.0
110,12.1,NE,33.0,ESE,6.0
111,8.2,ESE,39.0,SSE,2.0
112,3.8,S,50.0,NNW,4.0
113,8.6,W,50.0,,
114,12.4,NW,46.0,WNW,20.0
115,12.4,NW,44.0,NW,15.0
116,10.2,ENE,44.0,ENE,9.0
117,11.6,NW,44.0,WSW,4.0
118,8.1,W,48.0,,
119,0.8,SSE,48.0,S,13.0
120,12.0,S,48.0,S,24.0
121,12.1,S,35.0,SSE,15.0
122,11.6,E,35.0,ESE,7.0
123,10.1,E,35.0,ESE,6.0
124,7.3,ESE,39.0,SSE,6.0
125,11.0,E,46.0,SSE,7.0
126,11.3,WSW,41.0,NNW,6.0
127,7.5,E,50.0,,
128,11.5,NNW,24.0,SSE,6.0
129,11.5,E,41.0,SE,7.0
130,11.2,WNW,24.0,ENE,6.0
131,8.5,SSW,46.0,SE,11.0
132,11.0,WNW,44.0,ESE,6.0
133,9.7,ENE,39.0,SE,7.0
134,11.3,W,22.0,SE,9.0
135,11.2,SE,48.0,SE,7.0
136,11.4,NE,28.0,ENE,4.0
137,11.2,NE,33.0,ESE,9.0
138,10.7,NW,43.0,,0.0
139,9.8,NE,31.0,SE,4.0
140,8.0,NW,46.0,,0.0
141,0.0,SE,30.0,ESE,9.0
142,1.6,E,33.0,SE,6.0
143,6.2,ENE,30.0,NNW,6.0
144,1.9,NW,28.0,SSE,6.0
145,0.0,NNW,43.0,N,11.0
146,9.1,W,46.0,NNW,17.0
147,9.6,N,33.0,SE,7.0
148,11.0,W,31.0,SE,7.0
149,10.0,NW,57.0,N,9.0
150,10.8,WNW,50.0,WSW,6.0
151,10.0,WNW,57.0,NW,19.0
152,10.3,NNW,22.0,ESE,7.0
153,5.6,NNW,83.0,SSW,2.0
154,9.7,WNW,63.0,NW,26.0
155,9.6,N,22.0,NW,6.0
156,10.6,E,26.0,SE,7.0
157,9.3,E,35.0,SSW,7.0
158,7.8,ENE,31.0,ESE,11.0
159,4.1,ESE,39.0,SSE,15.0
160,6.8,SW,17.0,S,9.0
161,9.5,E,26.0,NNW,4.0
162,10.2,ESE,39.0,SE,2.0
163,6.1,WNW,35.0,SSW,6.0
164,7.7,W,39.0,SSE,13.0
165,9.3,S,31.0,SSE,9.0
166,10.8,SSE,28.0,SSE,7.0
167,10.6,S,31.0,S,9.0
168,6.3,WNW,26.0,SSW,7.0
169,8.3,ESE,48.0,SSE,17.0
170,4.9,SE,35.0,SE,13.0
171,7.1,ESE,33.0,SSE,11.0
172,10.1,E,30.0,SE,9.0
173,8.0,SE,33.0,SSE,13.0
174,6.8,ENE,26.0,,0.0
175,7.9,NE,28.0,ESE,7.0
176,8.9,WNW,22.0,,0.0
177,6.5,NW,44.0,ESE,2.0
178,5.8,NW,59.0,NNW,26.0
179,5.6,W,57.0,WNW,26.0
180,9.5,NNW,22.0,,0.0
181,7.0,N,28.0,E,2.0
182,0.8,WNW,31.0,W,6.0
183,9.2,W,43.0,SSW,6.0
184,9.4,NW,31.0,ESE,6.0
185,9.3,NNW,30.0,SW,2.0
186,8.3,NW,39.0,NE,2.0
187,3.0,NW,41.0,W,7.0
188,9.4,WNW,43.0,NW,17.0
189,9.4,NW,24.0,,0.0
190,9.2,NNW,17.0,WNW,2.0
191,9.3,NW,20.0,NW,2.0
192,1.6,E,20.0,WSW,6.0
193,7.7,,24.0,E,4.0
194,9.4,NNW,30.0,SE,7.0
195,9.2,NNW,31.0,,
196,8.7,NW,33.0,NNE,2.0
197,4.3,NW,35.0,W,9.0
198,1.7,NW,52.0,NNW,30.0
199,8.8,NW,41.0,NNW,13.0
200,9.3,W,52.0,,0.0
201,5.6,WNW,31.0,S,6.0
202,7.3,E,24.0,ESE,2.0
203,9.2,ESE,20.0,SSE,7.0
204,6.7,SE,17.0,SE,11.0
205,8.9,SE,17.0,SE,6.0
206,8.4,W,39.0,SE,6.0
207,5.1,ESE,22.0,NNW,6.0
208,8.5,NNW,22.0,,0.0
209,8.2,NW,20.0,,0.0
210,8.5,NW,20.0,SSE,7.0
211,8.6,,,N,2.0
212,8.9,E,22.0,,0.0
213,2.7,NE,17.0,,
214,0.6,NNE,15.0,SSE,6.0
215,0.0,ESE,20.0,S,9.0
216,2.6,SSE,41.0,SE,9.0
217,2.7,S,31.0,SSE,6.0
218,9.0,S,22.0,SE,11.0
219,9.0,NE,28.0,N,4.0
220,3.0,E,30.0,SSE,6.0
221,,NNE,30.0,SSE,6.0
222,0.0,NW,31.0,E,2.0
223,0.5,NW,46.0,NNW,22.0
224,8.5,NW,43.0,N,15.0
225,7.1,WNW,54.0,W,19.0
226,7.2,S,48.0,NW,7.0
227,8.2,S,43.0,S,24.0
228,5.9,SSW,26.0,SSW,17.0
229,5.8,NNE,20.0,SSW,7.0
230,4.7,N,13.0,N,6.0
231,2.0,NNW,17.0,SE,6.0
232,0.0,W,26.0,WNW,6.0
233,7.7,WNW,41.0,E,6.0
234,7.6,NW,33.0,NNW,9.0
235,6.8,NW,24.0,W,7.0
236,4.1,WNW,41.0,S,2.0
237,9.0,NW,46.0,,0.0
238,6.5,WNW,63.0,NNW,20.0
239,8.9,NNW,35.0,N,7.0
240,8.0,NW,15.0,N,6.0
241,6.1,NNW,31.0,S,6.0
242,6.4,W,70.0,NW,22.0
243,5.6,NW,78.0,NW,33.0
244,8.2,WNW,61.0,NNW,31.0
245,8.9,N,31.0,ESE,7.0
246,3.9,ESE,35.0,SSW,4.0
247,7.0,W,13.0,,
248,7.1,NW,41.0,WNW,2.0
249,0.2,W,35.0,,0.0
250,6.5,NW,35.0,,0.0
251,2.8,WNW,39.0,NW,9.0
252,1.2,NW,65.0,NW,31.0
253,7.7,NW,59.0,NW,20.0
254,6.5,N,20.0,E,2.0
255,0.9,NNW,31.0,,0.0
256,8.9,NNW,41.0,SW,7.0
257,5.2,NNW,28.0,,
258,1.9,N,17.0,SE,6.0
259,4.7,NNW,41.0,,0.0
260,5.6,NW,46.0,NNW,24.0
261,8.1,NW,35.0,NNW,15.0
262,0.0,WNW,41.0,,0.0
263,7.5,WNW,54.0,WNW,26.0
264,9.2,S,39.0,E,2.0
265,7.7,ESE,26.0,N,6.0
266,8.4,ESE,30.0,SE,7.0
267,8.1,S,31.0,SE,7.0
268,5.9,WNW,33.0,SE,2.0
269,1.9,SSE,28.0,SSE,6.0
270,9.1,S,59.0,SSW,28.0
271,8.6,,,S,19.0
272,8.7,NNW,31.0,,0.0
273,6.8,WNW,48.0,,0.0
274,0.7,W,65.0,NW,19.0
275,9.3,WNW,57.0,NNW,28.0
276,9.6,WNW,35.0,ENE,4.0
277,5.8,W,31.0,ESE,4.0
278,4.2,S,50.0,,0.0
279,8.3,S,48.0,S,30.0
280,5.0,NNW,41.0,SE,7.0
281,7.2,N,43.0,WNW,6.0
282,7.3,NW,43.0,N,6.0
283,4.7,NW,50.0,NW,30.0
284,9.9,N,39.0,NNW,9.0
285,7.9,WNW,59.0,NW,22.0
286,9.8,WNW,44.0,WNW,20.0
287,9.4,NW,59.0,NNW,28.0
288,8.4,WNW,52.0,WNW,28.0
289,10.0,NNW,46.0,WNW,24.0
290,10.4,N,30.0,ESE,9.0
291,6.8,SSE,48.0,NNW,7.0
292,7.9,NW,33.0,N,4.0
293,4.7,WNW,39.0,NNW,13.0
294,1.8,NW,46.0,NNW,15.0
295,7.0,S,59.0,S,15.0
296,9.5,S,54.0,SSW,30.0
297,10.4,NNW,22.0,N,2.0
298,7.8,WNW,31.0,SSW,7.0
299,9.0,NW,48.0,,0.0
300,,SSW,30.0,SSE,9.0
301,9.9,ENE,30.0,SE,6.0
302,5.9,E,28.0,,0.0
303,4.1,NNW,39.0,SSW,4.0
304,2.4,NW,59.0,NW,24.0
305,10.8,NW,46.0,NW,20.0
306,10.2,WNW,28.0,ESE,2.0
307,3.9,ESE,41.0,SE,17.0
308,0.6,ENE,35.0,SE,11.0
309,0.0,SE,26.0,SSE,13.0
310,2.9,S,35.0,S,19.0
311,8.6,NW,35.0,WNW,7.0
312,9.4,SE,31.0,,0.0
313,10.9,SSE,43.0,SE,9.0
314,9.7,N,30.0,SW,6.0
315,9.9,NW,31.0,NE,4.0
316,9.9,NW,48.0,NNE,9.0
317,10.2,NW,50.0,N,20.0
318,6.0,NNW,67.0,N,39.0
319,8.0,NW,98.0,NW,31.0
320,11.0,WNW,65.0,WNW,26.0
321,9.0,ENE,20.0,SSW,6.0
322,8.6,NNW,39.0,NNW,2.0
323,10.3,NW,44.0,N,9.0
324,10.9,WNW,65.0,N,15.0
325,11.0,NNW,46.0,NNE,13.0
326,5.2,NW,80.0,SSE,2.0
327,7.9,NW,50.0,NW,15.0
328,11.3,E,31.0,SSE,4.0
329,11.1,N,31.0,E,4.0
330,10.6,NNW,44.0,NW,20.0
331,10.5,NNW,50.0,NNW,2.0
332,11.1,WNW,52.0,NW,31.0
333,9.4,NW,44.0,S,6.0
334,11.4,N,41.0,NNW,6.0
335,11.1,N,46.0,SW,6.0
336,11.0,NW,46.0,NNW,15.0
337,10.8,NNW,70.0,NW,31.0
338,4.9,NNW,33.0,NNW,20.0
339,6.7,NNW,43.0,ENE,7.0
340,8.4,W,65.0,N,24.0
341,11.8,NW,57.0,NNW,11.0
342,11.5,N,44.0,NNE,2.0
343,11.5,NNW,31.0,S,2.0
344,11.0,N,41.0,NNW,6.0
345,11.2,NW,31.0,SSW,2.0
346,11.7,NW,30.0,ENE,4.0
347,7.5,SSW,70.0,NE,6.0
348,,NW,41.0,NNE,7.0
349,10.4,ENE,31.0,SSE,4.0
350,12.2,NW,28.0,SW,2.0
351,12.0,NNW,52.0,,0.0
352,8.6,NW,43.0,N,4.0
353,9.8,NW,46.0,W,2.0
354,12.1,NW,52.0,SE,6.0
355,6.2,ENE,39.0,S,11.0
356,11.7,S,70.0,S,35.0
357,12.2,SSE,48.0,SSE,26.0
358,8.4,NNW,39.0,SSE,2.0
359,10.8,N,43.0,N,4.0
360,3.5,NNW,43.0,,0.0
361,12.1,NNW,76.0,SSE,7.0
362,12.7,N,48.0,NNW,2.0
363,5.3,ESE,43.0,ENE,11.0
364,7.1,NW,46.0,SSW,6.0
365,12.6,NW,78.0,NW,31.0
